ORDER_ID,CUST_ID,CUST_ID_CHAR,CUST_ID_DUP,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE
1,10728,C10728,C10728,11/11/2008 12:00:00.000 AM,11/11/2008 09:47:56.111 PM,7.85,WE220 ,12/16/2008 12:00:00.000 AM,25/12/08
2,13124,C13124,C13124,1/28/2008 12:00:00.000 AM,1/28/2008 01:13:54.169 PM,7.85,NE106 ,2/26/2008 12:00:00.000 AM,07/03/08
3,12146,C12146,C12146,4/2/2008 12:00:00.000 AM,4/2/2008 04:33:44.265 PM,7.85,NW112 ,4/28/2008 12:00:00.000 AM,30/05/08
4,13456,C13456,C13456,8/23/2008 12:00:00.000 AM,8/23/2008 10:47:24.175 PM,7.85,SC193 ,9/10/2008 12:00:00.000 AM,20/08/08
5,11301,C11301,C11301,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,7.85,NE109 ,3/16/2009 05:47:25.000 PM,05/08/09
6,10866,C10866,C10866,1/24/2008 12:00:00.000 AM,1/24/2008 11:13:54.169 PM,7.85,SE400 ,2/26/2008 12:00:00.000 AM,07/03/08
7,11255,C11255,C11255,11/10/2008 12:00:00.000 AM,11/10/2008 05:43:54.241 PM,7.85,NE373 ,11/30/2008 12:00:00.000 AM,12/12/08
8,11566,C11566,C11566,10/7/2008 12:00:00.000 AM,10/7/2008 09:33:59.136 PM,7.85,SE265 ,11/20/2008 12:00:00.000 AM,25/11/08
9,11193,C11193,C11193,1/8/2008 12:00:00.000 AM,1/8/2008 03:13:54.169 AM,7.85,SW277 ,2/20/2008 12:00:00.000 AM,27/03/08
10,11758,C11758,C11758,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,7.85,NE175 ,3/16/2009 05:47:25.000 PM,05/08/09
11,13329,C13329,C13329,6/11/2008 12:00:00.000 AM,6/11/2008 03:36:44.265 PM,68.57,RP319 ,7/10/2008 12:00:00.000 AM,20/07/08
12,12795,C12795,C12795,9/30/2008 12:00:00.000 AM,9/30/2008 06:57:28.175 PM,27.97,WE226 ,10/10/2008 12:00:00.000 AM,20/09/08
13,13244,C13244,C13244,3/31/2008 12:00:00.000 AM,3/31/2008 06:57:39.114 PM,23.37,SW142 ,4/20/2008 12:00:00.000 AM,30/04/08
14,12865,C12865,C12865,9/10/2008 12:00:00.000 AM,9/10/2008 08:27:55.166 PM,6.15,SE271 ,9/30/2008 12:00:00.000 AM,10/09/08
15,10300,C10300,C10300,8/3/2008 12:00:00.000 AM,8/3/2008 05:27:54.295 PM,16.27,NE172 ,9/2/2008 12:00:00.000 AM,10/08/08
16,11292,C11292,C11292,10/22/2008 12:00:00.000 AM,10/22/2008 05:33:26.077 PM,23.78,NC229 ,11/8/2008 12:00:00.000 AM,20/11/08
17,11197,C11197,C11197,3/28/2008 12:00:00.000 AM,3/28/2008 11:58:44.265 PM,11.15,SC322 ,4/20/2008 12:00:00.000 AM,10/05/08
18,12203,C12203,C12203,8/19/2008 12:00:00.000 AM,8/19/2008 01:34:16.169 AM,11.15,SE403 ,8/29/2008 12:00:00.000 AM,09/09/08
19,10674,C10674,C10674,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,11.15,SW211 ,3/16/2009 05:47:25.000 PM,05/08/09
20,13395,C13395,C13395,6/11/2008 12:00:00.000 AM,6/11/2008 03:36:44.265 PM,11.15,RP319 ,7/10/2008 12:00:00.000 AM,20/07/08
